item,dimension,rater1,rater2
1,suficiencia,3,4
1,claridad,4,4
1,coherencia,3,4
1,relevancia,3,4
2,suficiencia,3,1
2,claridad,2,2
2,coherencia,2,1
2,relevancia,3,4
3,suficiencia,2,4
3,claridad,3,4
3,coherencia,3,4
3,relevancia,2,4
4,suficiencia,3,2
4,claridad,2,3
4,coherencia,3,2
4,relevancia,2,3
5,suficiencia,4,1
5,claridad,3,1
5,coherencia,3,1
5,relevancia,4,1
6,suficiencia,3,3
6,claridad,4,3
6,coherencia,4,3
6,relevancia,3,3
7,suficiencia,4,4
7,claridad,4,4
7,coherencia,4,3
7,relevancia,4,3
8,suficiencia,3,3
8,claridad,4,3
8,coherencia,3,3
8,relevancia,2,2
9,suficiencia,3,4
9,claridad,4,3
9,coherencia,3,3
9,relevancia,3,3
10,suficiencia,3,2
10,claridad,4,2
10,coherencia,4,2
10,relevancia,4,3
11,suficiencia,3,3
11,claridad,4,3
11,coherencia,4,3
11,relevancia,3,4
12,suficiencia,2,4
12,claridad,3,4
12,coherencia,2,4
12,relevancia,3,4
13,suficiencia,2,3
13,claridad,3,3
13,coherencia,3,3
13,relevancia,3,4
14,suficiencia,2,1
14,claridad,1,1
14,coherencia,2,1
14,relevancia,3,1
15,suficiencia,3,4
15,claridad,3,4
15,coherencia,4,4
15,relevancia,4,4
16,suficiencia,3,3
16,claridad,2,2
16,coherencia,3,3
16,relevancia,3,3
17,suficiencia,4,1
17,claridad,4,1
17,coherencia,4,1
17,relevancia,4,1
18,suficiencia,2,1
18,claridad,1,1
18,coherencia,2,1
18,relevancia,2,1
19,suficiencia,2,2
19,claridad,1,3
19,coherencia,2,3
19,relevancia,4,2
