"subjectID","age","gender","glasses","lenses","psychopyVers","codeVersion","expID","expCond","noArms","idArm1","idArm2","idArm3","idArm4","idArm5","idArm6","imgArm1","imgArm2","imgArm3","imgArm4","imgArm5","imgArm6","posArm1","posArm2","posArm3","posArm4","posArm5","posArm6","valExpArm1","valExpArm2","valExpArm3","valExpArm4","valExpArm5","valExpArm6","valSdArm1","valSdArm2","valSdArm3","valSdArm4","valSdArm5","valSdArm6","inoSdArm1","inoSdArm2","inoSdArm3","inoSdArm4","inoSdArm5","inoSdArm6","decayArm1","decayArm2","decayArm3","decayArm4","decayArm5","decayArm6","exchangeRate","scalingFactor","units","seed","game","gameType","trial","calibration","ITI","timeFixStim","timeFixChoice","choiceMade","chosenArm","chosenArmId","chosenArmPos","choiceRT","IFI","reward","rewardScaled","rewardExp","rewardMaxExp","regret","regretExp","correct","correctArm","correctArmId","chosenRankExp","rewardTotal","rewardTotalScaled","feedbackRT","timeTrial","instTime","timeTotal"
1274711,22,"Male","No","No","1.85.4",1.6,"exp2","stationary",6,"a4","a2","a6","a3","a5","a1","yer.png","tverdo.png","vedi.png","Iota.png","kako.png","mislete.png","[9.0, 0.0]","[4.5, 7.79422863406]","[-4.5, 7.79422863406]","[-9.0, 1.10218211923e-15]","[-4.5, -7.79422863406]","[4.5, -7.79422863406]",4.24558582894,5.36125122309,3.3909560536,4.77473609115,3.78082782739,6,1.2449899598,1.53297097168,0.866025403784,1.39642400438,1.07238052948,1.65831239518,0,0,0,0,0,0,1,1,1,1,1,1,10,3.35201565783,"kuna",123,1,"decVar",1,0,5.37582507901,1.2985681343,1.08834764137,1,6,"a1","[4.5, -7.79422863406]",0.774,2.022064928,10.6264910983,35.6,6,6,-4.62649109833,0,1,6,"a1",1,10.6264910983,35.6,3.486,14.762,105.140915849,1040.02907308
1274711,22,"Male","No","No","1.85.4",1.6,"exp2","stationary",6,"a4","a2","a6","a3","a5","a1","yer.png","tverdo.png","vedi.png","Iota.png","kako.png","mislete.png","[9.0, 0.0]","[4.5, 7.79422863406]","[-4.5, 7.79422863406]","[-9.0, 1.10218211923e-15]","[-4.5, -7.79422863406]","[4.5, -7.79422863406]",4.24558582894,5.36125122309,3.3909560536,4.77473609115,3.78082782739,6,1.2449899598,1.53297097168,0.866025403784,1.39642400438,1.07238052948,1.65831239518,0,0,0,0,0,0,1,1,1,1,1,1,10,3.35201565783,"kuna",123,1,"decVar",2,0,5.06736380032,1.03177644474,1.39656299893,1,6,"a1","[4.5, -7.79422863406]",0.823,2.09658848502,5.93825856546,19.9,6,6,0.0617414345366,0,1,6,"a1",1,16.5647496638,55.5,3.491,15.113,105.140915849,1062.89053946
1274711,22,"Male","No","No","1.85.4",1.6,"exp2","stationary",6,"a4","a2","a6","a3","a5","a1","yer.png","tverdo.png","vedi.png","Iota.png","kako.png","mislete.png","[9.0, 0.0]","[4.5, 7.79422863406]","[-4.5, 7.79422863406]","[-9.0, 1.10218211923e-15]","[-4.5, -7.79422863406]","[4.5, -7.79422863406]",4.24558582894,5.36125122309,3.3909560536,4.77473609115,3.78082782739,6,1.2449899598,1.53297097168,0.866025403784,1.39642400438,1.07238052948,1.65831239518,0,0,0,0,0,0,1,1,1,1,1,1,10,3.35201565783,"kuna",123,1,"decVar",3,0,5.13596492616,1.05787395292,2.19681860086,1,1,"a4","[9.0, 0.0]",0.877,2.21713429181,5.40449005851,18.1,4.24558582894,6,0.595509941489,1.75441417106,0,6,"a1",4,21.9692397223,73.6,3.48,16.015,105.140915849,1086.72051582
1274711,22,"Male","No","No","1.85.4",1.6,"exp2","stationary",6,"a4","a2","a6","a3","a5","a1","yer.png","tverdo.png","vedi.png","Iota.png","kako.png","mislete.png","[9.0, 0.0]","[4.5, 7.79422863406]","[-4.5, 7.79422863406]","[-9.0, 1.10218211923e-15]","[-4.5, -7.79422863406]","[4.5, -7.79422863406]",4.24558582894,5.36125122309,3.3909560536,4.77473609115,3.78082782739,6,1.2449899598,1.53297097168,0.866025403784,1.39642400438,1.07238052948,1.65831239518,0,0,0,0,0,0,1,1,1,1,1,1,10,3.35201565783,"kuna",123,1,"decVar",4,0,5.21017865837,1.05779544621,1.03753047468,1,2,"a2","[4.5, 7.79422863406]",0.663,2.05431041724,6.68734927937,22.4,5.36125122309,6,-0.687349279366,0.638748776907,0,6,"a1",2,28.6565890017,96,3.5,14.729,105.140915849,1109.33113278
1274711,22,"Male","No","No","1.85.4",1.6,"exp2","stationary",6,"a4","a2","a6","a3","a5","a1","yer.png","tverdo.png","vedi.png","Iota.png","kako.png","mislete.png","[9.0, 0.0]","[4.5, 7.79422863406]","[-4.5, 7.79422863406]","[-9.0, 1.10218211923e-15]","[-4.5, -7.79422863406]","[4.5, -7.79422863406]",4.24558582894,5.36125122309,3.3909560536,4.77473609115,3.78082782739,6,1.2449899598,1.53297097168,0.866025403784,1.39642400438,1.07238052948,1.65831239518,0,0,0,0,0,0,1,1,1,1,1,1,10,3.35201565783,"kuna",123,1,"decVar",5,0,5.04439445243,1.0512859314,1.25383836663,1,5,"a5","[-4.5, -7.79422863406]",0.901,2.21660015694,4.16582177473,14,3.78082782739,6,1.83417822527,2.21917217261,0,6,"a1",5,32.8224107764,110,3.496,15.116,105.140915849,1132.13243371
1274711,22,"Male","No","No","1.85.4",1.6,"exp2","stationary",6,"a4","a2","a6","a3","a5","a1","yer.png","tverdo.png","vedi.png","Iota.png","kako.png","mislete.png","[9.0, 0.0]","[4.5, 7.79422863406]","[-4.5, 7.79422863406]","[-9.0, 1.10218211923e-15]","[-4.5, -7.79422863406]","[4.5, -7.79422863406]",4.24558582894,5.36125122309,3.3909560536,4.77473609115,3.78082782739,6,1.2449899598,1.53297097168,0.866025403784,1.39642400438,1.07238052948,1.65831239518,0,0,0,0,0,0,1,1,1,1,1,1,10,3.35201565783,"kuna",123,1,"decVar",6,0,5.00428060739,1.10274452067,1.08549892864,1,5,"a5","[-4.5, -7.79422863406]",0.781,2.2679005093,5.25877304793,17.6,3.78082782739,6,0.74122695207,2.21917217261,0,6,"a1",5,38.0811838243,127.6,3.513,15.025,105.140915849,1154.88290212
1274711,22,"Male","No","No","1.85.4",1.6,"exp2","stationary",6,"a4","a2","a6","a3","a5","a1","yer.png","tverdo.png","vedi.png","Iota.png","kako.png","mislete.png","[9.0, 0.0]","[4.5, 7.79422863406]","[-4.5, 7.79422863406]","[-9.0, 1.10218211923e-15]","[-4.5, -7.79422863406]","[4.5, -7.79422863406]",4.24558582894,5.36125122309,3.3909560536,4.77473609115,3.78082782739,6,1.2449899598,1.53297097168,0.866025403784,1.39642400438,1.07238052948,1.65831239518,0,0,0,0,0,0,1,1,1,1,1,1,10,3.35201565783,"kuna",123,1,"decVar",7,0,5.20210363354,1.01783410792,1.05257844769,1,1,"a4","[9.0, 0.0]",0.866,2.49267408744,5.09935865589,17.1,4.24558582894,6,0.900641344107,1.75441417106,0,6,"a1",4,43.1805424802,144.7,3.484,15.216,105.140915849,1177.91847675
1274711,22,"Male","No","No","1.85.4",1.6,"exp2","stationary",6,"a4","a2","a6","a3","a5","a1","yer.png","tverdo.png","vedi.png","Iota.png","kako.png","mislete.png","[9.0, 0.0]","[4.5, 7.79422863406]","[-4.5, 7.79422863406]","[-9.0, 1.10218211923e-15]","[-4.5, -7.79422863406]","[4.5, -7.79422863406]",4.24558582894,5.36125122309,3.3909560536,4.77473609115,3.78082782739,6,1.2449899598,1.53297097168,0.866025403784,1.39642400438,1.07238052948,1.65831239518,0,0,0,0,0,0,1,1,1,1,1,1,10,3.35201565783,"kuna",123,1,"decVar",8,0,5.13127000986,1.00710428849,1.05673958783,1,3,"a6","[-4.5, 7.79422863406]",0.568,2.2362553702,3.39496036102,11.4,3.3909560536,6,2.60503963898,2.6090439464,0,6,"a1",6,46.5755028412,156.1,3.481,14.992,105.140915849,1200.67706549
1274711,22,"Male","No","No","1.85.4",1.6,"exp2","stationary",6,"a4","a2","a6","a3","a5","a1","yer.png","tverdo.png","vedi.png","Iota.png","kako.png","mislete.png","[9.0, 0.0]","[4.5, 7.79422863406]","[-4.5, 7.79422863406]","[-9.0, 1.10218211923e-15]","[-4.5, -7.79422863406]","[4.5, -7.79422863406]",4.24558582894,5.36125122309,3.3909560536,4.77473609115,3.78082782739,6,1.2449899598,1.53297097168,0.866025403784,1.39642400438,1.07238052948,1.65831239518,0,0,0,0,0,0,1,1,1,1,1,1,10,3.35201565783,"kuna",123,1,"decVar",9,0,5.17418351033,1.03648883854,1.36285631309,1,4,"a3","[-9.0, 1.10218211923e-15]",0.663,2.31956396861,3.51376791394,11.8,4.77473609115,6,2.48623208606,1.22526390885,0,6,"a1",3,50.0892707552,167.9,3.495,15.339,105.140915849,1223.83174334
1274711,22,"Male","No","No","1.85.4",1.6,"exp2","stationary",6,"a4","a2","a6","a3","a5","a1","yer.png","tverdo.png","vedi.png","Iota.png","kako.png","mislete.png","[9.0, 0.0]","[4.5, 7.79422863406]","[-4.5, 7.79422863406]","[-9.0, 1.10218211923e-15]","[-4.5, -7.79422863406]","[4.5, -7.79422863406]",4.24558582894,5.36125122309,3.3909560536,4.77473609115,3.78082782739,6,1.2449899598,1.53297097168,0.866025403784,1.39642400438,1.07238052948,1.65831239518,0,0,0,0,0,0,1,1,1,1,1,1,10,3.35201565783,"kuna",123,1,"decVar",10,0,5.48484303863,1.06147445275,1.0049809095,1,5,"a5","[-4.5, -7.79422863406]",0.723,2.44194006906,2.29117348619,7.7,3.78082782739,6,3.70882651381,2.21917217261,0,6,"a1",5,52.3804442414,175.6,3.497,15.133,105.140915849,1247.18576053
